,Venue,Venue Category,Venue ID,Venue Latitude,Venue Longitude,gender,id
755,Dylan Murphy's,40.77638543373941,4a18b5e7f964a520e0791fe3,-73.95576686149955,Burger Joint,female,23435077
756,Wrap-N-Run Grill,40.774487176213405,4be1a99fa145c928f61d4e80,-73.95928673467535,Restaurant,male,153825393
757,Wrap-N-Run Grill,40.774487176213405,4be1a99fa145c928f61d4e80,-73.95928673467535,Restaurant,female,122000434
758,Wrap-N-Run Grill,40.774487176213405,4be1a99fa145c928f61d4e80,-73.95928673467535,Restaurant,none,200195147
759,Nectar,40.778317712525094,4a8b12c1f964a5205f0b20e3,-73.96071279788916,Diner,none,108564292
760,Nectar,40.778317712525094,4a8b12c1f964a5205f0b20e3,-73.96071279788916,Diner,male,2900
761,Nectar,40.778317712525094,4a8b12c1f964a5205f0b20e3,-73.96071279788916,Diner,female,12812826
762,The New Amity Restaurant,40.77980470462351,4b282b9af964a520309024e3,-73.95966389381256,Diner,female,540792
763,The New Amity Restaurant,40.77980470462351,4b282b9af964a520309024e3,-73.95966389381256,Diner,male,4841238
764,The New Amity Restaurant,40.77980470462351,4b282b9af964a520309024e3,-73.95966389381256,Diner,female,39940741
765,Oysters Burgers & Martinis,40.772347778553964,4ead80849a52ba78477a4869,-73.96077469950781,Burger Joint,female,10546467
766,Lenox Hill Grill,40.773846015778474,4b212aaaf964a520993724e3,-73.95971890374575,Diner,male,19759136
767,Lenox Hill Grill,40.773846015778474,4b212aaaf964a520993724e3,-73.95971890374575,Diner,female,18477000
768,Lenox Hill Grill,40.773846015778474,4b212aaaf964a520993724e3,-73.95971890374575,Diner,male,394436210
769,PJ Bernstein Deli Restaurant,40.77361531285603,4abf9767f964a520399120e3,-73.96082997322087,Deli / Bodega,female,5351510
770,PJ Bernstein Deli Restaurant,40.77361531285603,4abf9767f964a520399120e3,-73.96082997322087,Deli / Bodega,male,37407
771,PJ Bernstein Deli Restaurant,40.77361531285603,4abf9767f964a520399120e3,-73.96082997322087,Deli / Bodega,male,4934746
